Box,Treatment,Block,Leaf,Leaflet,Direction,Te,Tu
1,10Te10Tu,1,2,1,Down,4,1
1,10Te10Tu,1,2,2,Down,2,2
1,10Te10Tu,1,2,3,Down,1,5
1,10Te10Tu,1,2,1,Up,6,1
1,10Te10Tu,1,2,2,Up,6,12
1,10Te10Tu,1,2,3,Up,3,6
1,10Te10Tu,1,3,1,Down,0,1
1,10Te10Tu,1,3,2,Down,0,2
1,10Te10Tu,1,3,3,Down,4,0
1,10Te10Tu,1,3,4,Down,0,2
1,10Te10Tu,1,3,5,Down,4,2
1,10Te10Tu,1,3,1,Up,0,4
1,10Te10Tu,1,3,2,Up,0,16
1,10Te10Tu,1,3,3,Up,11,3
1,10Te10Tu,1,3,4,Up,2,13
1,10Te10Tu,1,3,5,Up,1,8
1,10Te10Tu,1,4,1,Down,1,1
1,10Te10Tu,1,4,2,Down,10,1
1,10Te10Tu,1,4,3,Down,9,3
1,10Te10Tu,1,4,4,Down,4,3
1,10Te10Tu,1,4,5,Down,8,1
1,10Te10Tu,1,4,1,Up,1,1
1,10Te10Tu,1,4,2,Up,11,4
1,10Te10Tu,1,4,3,Up,7,2
1,10Te10Tu,1,4,4,Up,3,0
1,10Te10Tu,1,4,5,Up,26,11
1,10Te10Tu,1,5,1,Down,0,0
1,10Te10Tu,1,5,2,Down,0,1
1,10Te10Tu,1,5,3,Down,1,1
1,10Te10Tu,1,5,4,Down,0,1
1,10Te10Tu,1,5,5,Down,0,1
1,10Te10Tu,1,5,1,Up,0,1
1,10Te10Tu,1,5,2,Up,1,3
1,10Te10Tu,1,5,3,Up,2,11
1,10Te10Tu,1,5,4,Up,4,3
1,10Te10Tu,1,5,5,Up,0,1
2,10Te10Tu,1,2,1,Down,4,4
2,10Te10Tu,1,2,2,Down,4,4
2,10Te10Tu,1,2,3,Down,0,0
2,10Te10Tu,1,2,1,Up,7,14
2,10Te10Tu,1,2,2,Up,29,5
2,10Te10Tu,1,2,3,Up,24,3
2,10Te10Tu,1,3,1,Down,3,0
2,10Te10Tu,1,3,2,Down,3,1
2,10Te10Tu,1,3,3,Down,3,3
2,10Te10Tu,1,3,4,Down,3,15
2,10Te10Tu,1,3,5,Down,0,1
2,10Te10Tu,1,3,1,Up,6,0
2,10Te10Tu,1,3,2,Up,13,0
2,10Te10Tu,1,3,3,Up,1,13
2,10Te10Tu,1,3,4,Up,7,0
2,10Te10Tu,1,3,5,Up,0,1
2,10Te10Tu,1,4,1,Down,4,6
2,10Te10Tu,1,4,2,Down,2,3
2,10Te10Tu,1,4,3,Down,1,3
2,10Te10Tu,1,4,4,Down,0,1
2,10Te10Tu,1,4,5,Down,1,4
2,10Te10Tu,1,4,1,Up,27,17
2,10Te10Tu,1,4,2,Up,21,5
2,10Te10Tu,1,4,3,Up,28,8
2,10Te10Tu,1,4,4,Up,10,5
2,10Te10Tu,1,4,5,Up,8,2
2,10Te10Tu,1,5,1,Down,2,0
2,10Te10Tu,1,5,2,Down,4,0
2,10Te10Tu,1,5,3,Down,1,0
2,10Te10Tu,1,5,4,Down,2,0
2,10Te10Tu,1,5,5,Down,1,0
2,10Te10Tu,1,5,1,Up,2,0
2,10Te10Tu,1,5,2,Up,4,0
2,10Te10Tu,1,5,3,Up,6,0
2,10Te10Tu,1,5,4,Up,4,0
2,10Te10Tu,1,5,5,Up,2,1
3,10Te10Tu,1,2,1,Down,4,4
3,10Te10Tu,1,2,2,Down,7,3
3,10Te10Tu,1,2,3,Down,4,1
3,10Te10Tu,1,2,1,Up,0,12
3,10Te10Tu,1,2,2,Up,2,4
3,10Te10Tu,1,2,3,Up,2,0
3,10Te10Tu,1,3,1,Down,0,3
3,10Te10Tu,1,3,2,Down,0,0
3,10Te10Tu,1,3,3,Down,4,2
3,10Te10Tu,1,3,4,Down,2,2
3,10Te10Tu,1,3,1,Up,1,4
3,10Te10Tu,1,3,2,Up,0,0
3,10Te10Tu,1,3,3,Up,13,11
3,10Te10Tu,1,3,4,Up,2,10
3,10Te10Tu,1,4,1,Down,2,3
3,10Te10Tu,1,4,2,Down,0,3
3,10Te10Tu,1,4,3,Down,15,2
3,10Te10Tu,1,4,4,Down,0,0
3,10Te10Tu,1,4,5,Down,0,1
3,10Te10Tu,1,4,1,Up,6,11
3,10Te10Tu,1,4,2,Up,5,4
3,10Te10Tu,1,4,3,Up,16,4
3,10Te10Tu,1,4,4,Up,0,0
3,10Te10Tu,1,4,5,Up,0,5
3,10Te10Tu,1,5,1,Down,3,3
3,10Te10Tu,1,5,2,Down,2,2
3,10Te10Tu,1,5,3,Down,2,0
3,10Te10Tu,1,5,4,Down,2,0
3,10Te10Tu,1,5,5,Down,0,0
3,10Te10Tu,1,5,1,Up,6,13
3,10Te10Tu,1,5,2,Up,9,10
3,10Te10Tu,1,5,3,Up,4,4
3,10Te10Tu,1,5,4,Up,2,10
3,10Te10Tu,1,5,5,Up,2,2
4,10Te10Tu,1,2,1,Down,2,1
4,10Te10Tu,1,2,2,Down,15,9
4,10Te10Tu,1,2,3,Down,5,1
4,10Te10Tu,1,2,1,Up,0,3
4,10Te10Tu,1,2,2,Up,27,20
4,10Te10Tu,1,2,3,Up,0,0
4,10Te10Tu,1,3,1,Down,0,0
4,10Te10Tu,1,3,2,Down,4,4
4,10Te10Tu,1,3,3,Down,4,4
4,10Te10Tu,1,3,4,Down,4,4
4,10Te10Tu,1,3,5,Down,1,1
4,10Te10Tu,1,3,1,Up,1,0
4,10Te10Tu,1,3,2,Up,4,0
4,10Te10Tu,1,3,3,Up,13,0
4,10Te10Tu,1,3,4,Up,2,2
4,10Te10Tu,1,3,5,Up,5,3
4,10Te10Tu,1,4,1,Down,0,6
4,10Te10Tu,1,4,2,Down,0,1
4,10Te10Tu,1,4,3,Down,9,3
4,10Te10Tu,1,4,4,Down,5,1
4,10Te10Tu,1,4,5,Down,0,0
4,10Te10Tu,1,4,1,Up,7,7
4,10Te10Tu,1,4,2,Up,1,4
4,10Te10Tu,1,4,3,Up,24,9
4,10Te10Tu,1,4,4,Up,21,9
4,10Te10Tu,1,4,5,Up,18,5
4,10Te10Tu,1,5,1,Down,2,3
4,10Te10Tu,1,5,2,Down,12,1
4,10Te10Tu,1,5,3,Down,18,3
4,10Te10Tu,1,5,4,Down,16,1
4,10Te10Tu,1,5,5,Down,6,4
4,10Te10Tu,1,5,1,Up,26,5
4,10Te10Tu,1,5,2,Up,32,1
4,10Te10Tu,1,5,3,Up,14,5
4,10Te10Tu,1,5,4,Up,7,2
4,10Te10Tu,1,5,5,Up,9,1
5,10Te10Tu,1,2,1,Down,2,1
5,10Te10Tu,1,2,2,Down,52,0
5,10Te10Tu,1,2,3,Down,0,0
5,10Te10Tu,1,2,1,Up,0,2
5,10Te10Tu,1,2,2,Up,22,1
5,10Te10Tu,1,2,3,Up,1,2
5,10Te10Tu,1,3,1,Down,2,0
5,10Te10Tu,1,3,2,Down,12,3
5,10Te10Tu,1,3,3,Down,5,3
5,10Te10Tu,1,3,4,Down,1,1
5,10Te10Tu,1,3,5,Down,0,0
5,10Te10Tu,1,3,1,Up,0,0
5,10Te10Tu,1,3,2,Up,16,2
5,10Te10Tu,1,3,3,Up,0,7
5,10Te10Tu,1,3,4,Up,9,4
5,10Te10Tu,1,3,5,Up,9,1
5,10Te10Tu,1,4,1,Down,2,0
5,10Te10Tu,1,4,2,Down,0,0
5,10Te10Tu,1,4,3,Down,3,1
5,10Te10Tu,1,4,4,Down,0,0
5,10Te10Tu,1,4,5,Down,6,2
5,10Te10Tu,1,4,1,Up,3,2
5,10Te10Tu,1,4,2,Up,0,0
5,10Te10Tu,1,4,3,Up,11,2
5,10Te10Tu,1,4,4,Up,0,0
5,10Te10Tu,1,4,5,Up,17,6
5,10Te10Tu,1,5,1,Down,3,2
5,10Te10Tu,1,5,2,Down,2,0
5,10Te10Tu,1,5,3,Down,0,0
5,10Te10Tu,1,5,4,Down,2,0
5,10Te10Tu,1,5,5,Down,2,1
5,10Te10Tu,1,5,1,Up,2,4
5,10Te10Tu,1,5,2,Up,1,0
5,10Te10Tu,1,5,3,Up,2,2
5,10Te10Tu,1,5,4,Up,13,0
5,10Te10Tu,1,5,5,Up,2,1
6,10Te10Tu,2,2,1,Down,7,3
6,10Te10Tu,2,2,2,Down,1,1
6,10Te10Tu,2,2,3,Down,12,3
6,10Te10Tu,2,2,1,Up,10,2
6,10Te10Tu,2,2,2,Up,2,10
6,10Te10Tu,2,2,3,Up,0,1
6,10Te10Tu,2,3,1,Down,0,0
6,10Te10Tu,2,3,2,Down,4,0
6,10Te10Tu,2,3,3,Down,0,1
6,10Te10Tu,2,3,4,Down,0,0
6,10Te10Tu,2,3,5,Down,7,4
6,10Te10Tu,2,3,1,Up,0,0
6,10Te10Tu,2,3,2,Up,1,0
6,10Te10Tu,2,3,3,Up,0,1
6,10Te10Tu,2,3,4,Up,3,3
6,10Te10Tu,2,3,5,Up,13,4
6,10Te10Tu,2,4,1,Down,18,2
6,10Te10Tu,2,4,2,Down,16,0
6,10Te10Tu,2,4,3,Down,3,3
6,10Te10Tu,2,4,4,Down,7,2
6,10Te10Tu,2,4,5,Down,18,2
6,10Te10Tu,2,4,1,Up,6,0
6,10Te10Tu,2,4,2,Up,25,5
