Treatment	Box	Leaf	Age
10Te10Tu	1	2	old
10Te10Tu	1	3	new
10Te10Tu	1	4	old
10Te10Tu	1	5	new
10Te10Tu	2	2	new
10Te10Tu	2	3	old
10Te10Tu	2	4	new
10Te10Tu	2	5	old
10Te10Tu	3	2	old
10Te10Tu	3	3	new
10Te10Tu	3	4	old
10Te10Tu	3	5	new
10Te10Tu	4	2	new
10Te10Tu	4	3	old
10Te10Tu	4	4	new
10Te10Tu	4	5	old
10Te10Tu	5	2	old
10Te10Tu	5	3	new
10Te10Tu	5	4	old
10Te10Tu	5	5	new
10Te10Tu	6	2	new
10Te10Tu	6	3	old
10Te10Tu	6	4	new
10Te10Tu	6	5	old
10Te10Tu	7	2	old
10Te10Tu	7	3	new
10Te10Tu	7	4	old
10Te10Tu	7	5	new
10Te10Tu	8	2	new
10Te10Tu	8	3	old
10Te10Tu	8	4	new
10Te10Tu	8	5	old
10Te10Tu	9	2	old
10Te10Tu	9	3	new
10Te10Tu	9	4	old
10Te10Tu	9	5	new
10Te10Tu	10	2	new
10Te10Tu	10	3	old
10Te10Tu	10	4	new
10Te10Tu	10	5	old
1Te19Tu48h	1	2	old
1Te19Tu48h	1	3	new
1Te19Tu48h	1	4	old
1Te19Tu48h	1	5	new
1Te19Tu48h	2	2	new
1Te19Tu48h	2	3	old
1Te19Tu48h	2	4	new
1Te19Tu48h	2	5	old
1Te19Tu48h	3	2	old
1Te19Tu48h	3	3	new
1Te19Tu48h	3	4	old
1Te19Tu48h	3	5	new
1Te19Tu48h	4	2	new
1Te19Tu48h	4	3	old
1Te19Tu48h	4	4	new
1Te19Tu48h	4	5	old
1Te19Tu48h	5	2	old
1Te19Tu48h	5	3	new
1Te19Tu48h	5	4	old
1Te19Tu48h	5	5	new
1Te19Tu48h	6	2	new
1Te19Tu48h	6	3	old
1Te19Tu48h	6	4	new
1Te19Tu48h	6	5	old
1Te19Tu48h	7	2	old
1Te19Tu48h	7	3	new
1Te19Tu48h	7	4	old
1Te19Tu48h	7	5	new
1Te19Tu48h	8	2	new
1Te19Tu48h	8	3	old
1Te19Tu48h	8	4	new
1Te19Tu48h	8	5	old
1Te19Tu48h	9	2	old
1Te19Tu48h	9	3	new
1Te19Tu48h	9	4	old
1Te19Tu48h	9	5	new
1Te19Tu48h	10	2	new
1Te19Tu48h	10	3	old
1Te19Tu48h	10	4	new
1Te19Tu48h	10	5	old
10Te10Tu48h	1	2	old
10Te10Tu48h	1	3	new
10Te10Tu48h	1	4	old
10Te10Tu48h	1	5	new
10Te10Tu48h	2	2	new
10Te10Tu48h	2	3	old
10Te10Tu48h	2	4	new
10Te10Tu48h	2	5	old
10Te10Tu48h	3	2	old
10Te10Tu48h	3	3	new
10Te10Tu48h	3	4	old
10Te10Tu48h	3	5	new
10Te10Tu48h	4	2	new
10Te10Tu48h	4	3	old
10Te10Tu48h	4	4	new
10Te10Tu48h	4	5	old
10Te10Tu48h	5	2	old
10Te10Tu48h	5	3	new
10Te10Tu48h	5	4	old
10Te10Tu48h	5	5	new
10Te10Tu48h	6	2	new
10Te10Tu48h	6	3	old
10Te10Tu48h	6	4	new
10Te10Tu48h	6	5	old
10Te10Tu48h	7	2	old
10Te10Tu48h	7	3	new
10Te10Tu48h	7	4	old
10Te10Tu48h	7	5	new
10Te10Tu48h	8	2	new
10Te10Tu48h	8	3	old
10Te10Tu48h	8	4	new
10Te10Tu48h	8	5	old
10Te10Tu48h	9	2	old
10Te10Tu48h	9	3	new
10Te10Tu48h	9	4	old
10Te10Tu48h	9	5	new
10Te10Tu48h	10	2	new
10Te10Tu48h	10	3	old
10Te10Tu48h	10	4	new
10Te10Tu48h	10	5	old
20Te	1	2	old
20Te	1	3	new
20Te	1	4	old
20Te	1	5	new
20Te	2	2	new
20Te	2	3	old
20Te	2	4	new
20Te	2	5	old
20Te	3	2	old
20Te	3	3	new
20Te	3	4	old
20Te	3	5	new
20Te	4	2	new
20Te	4	3	old
20Te	4	4	new
20Te	4	5	old
